iter	Logloss
0	0.6615038147
1	0.6337859087
2	0.6086766283
3	0.5857027708
4	0.5660692797
5	0.5487470761
6	0.5321460789
7	0.5186051394
8	0.5065540386
9	0.4945464588
10	0.4845594826
11	0.4754524903
12	0.4675413119
13	0.4595101627
14	0.4531627
15	0.4468283681
16	0.4419954583
17	0.4373355261
18	0.4324645858
19	0.4287638683
20	0.4256105386
21	0.4224813966
22	0.4198153476
23	0.4172444652
24	0.4148814208
25	0.4126607161
26	0.4109303615
27	0.4091933495
28	0.4078841822
29	0.406247557
30	0.4044365255
31	0.4025465142
32	0.4014035473
33	0.3996906209
34	0.3988517986
35	0.3973428622
36	0.3966557185
37	0.3957115452
38	0.394777673
39	0.3939276477
40	0.3927284854
41	0.3919284247
42	0.3912299635
43	0.3904171948
44	0.3893860171
45	0.3887195992
46	0.3880335411
47	0.3870202372
48	0.3863871602
49	0.3858153508
50	0.3851690599
51	0.3843008671
52	0.3836573873
53	0.3827469498
54	0.3823214005
55	0.3819175516
56	0.3813661447
57	0.380518413
58	0.3800160931
59	0.379570155
60	0.3792571248
61	0.3784654948
62	0.3781412083
63	0.377712537
64	0.3769252959
65	0.376336539
66	0.3758743688
67	0.3755715323
68	0.3751963304
69	0.3742173187
70	0.3733552766
71	0.3726989502
72	0.3721018041
73	0.3717020119
74	0.3714939106
75	0.3709320464
76	0.3703958116
77	0.3698321483
78	0.3693923465
79	0.368840075
80	0.3683890981
81	0.3680628635
82	0.367364877
83	0.3669839243
84	0.3665323543
85	0.3658521905
86	0.3655459256
87	0.3651789702
88	0.3646962356
89	0.3642701419
90	0.3638247644
91	0.3633926789
92	0.3629318693
93	0.3626751025
94	0.3623046067
95	0.3619970997
96	0.3618181256
97	0.3612991086
98	0.3607999706
99	0.3604454418
100	0.3594281343
101	0.3588895318
102	0.3583600892
103	0.3577786536
104	0.3574263007
105	0.3568012217
106	0.3564113757
107	0.3561169689
108	0.35569909
109	0.3553683382
110	0.3551962004
111	0.3548934265
112	0.3546371488
113	0.3541018307
114	0.3536830649
115	0.3532557214
116	0.3529644908
117	0.3526495039
118	0.3522988637
119	0.3519842645
120	0.3516451172
121	0.3514171174
122	0.3512207566
123	0.3507555341
124	0.35019786
125	0.349985794
126	0.3493812465
127	0.3491673278
128	0.3485805417
129	0.3480771587
130	0.3478952727
131	0.3474520907
132	0.347093177
133	0.3468139404
134	0.3463310092
135	0.3460626944
136	0.3456597686
137	0.3451224238
138	0.344942639
139	0.3447949732
140	0.3445107494
141	0.3442764966
142	0.3441465047
143	0.3438663317
144	0.3434907095
145	0.3430913192
146	0.3427193216
147	0.3421581147
148	0.3419333471
149	0.3415587544
150	0.3411971074
151	0.3409100706
152	0.3406059963
153	0.3403288749
154	0.3400922372
155	0.3396619543
156	0.3394387308
157	0.3391055327
158	0.3388295417
159	0.3381004371
160	0.3376602607
161	0.3374393753
162	0.3371916011
163	0.3368357256
164	0.3365886966
165	0.3362051478
166	0.335925407
167	0.3355017329
168	0.3351144165
169	0.3347687777
170	0.334534977
171	0.3342478654
172	0.3341309416
173	0.3339363259
174	0.3337675762
175	0.3332553121
176	0.3330530924
177	0.3328666213
178	0.3325671084
179	0.3321354817
180	0.331766669
181	0.3314522989
182	0.3312288431
183	0.331027199
184	0.3305514354
185	0.330375394
186	0.3300783883
187	0.3297461361
188	0.3294081563
189	0.3292703824
190	0.328765164
191	0.3286403686
192	0.3282317006
193	0.3279944913
194	0.3277251203
195	0.3274567226
196	0.3272509267
197	0.3270064267
198	0.326675878
199	0.3263668941
200	0.3262203551
201	0.3260026619
202	0.3258227281
203	0.3255221818
204	0.3251873312
205	0.3247855491
206	0.3244785866
207	0.3241107054
208	0.323792427
209	0.3234479551
210	0.3228858838
211	0.3225134519
212	0.3220054421
213	0.3216748514
214	0.3214655758
215	0.3211535409
216	0.3208791099
217	0.3203072369
218	0.3199137532
219	0.319717094
220	0.3194733257
221	0.3190858532
222	0.3187778749
223	0.3184671071
224	0.3181930027
225	0.3178688263
226	0.3176372101
227	0.3173796628
228	0.3168211751
229	0.3163627981
230	0.3160581578
231	0.3156301229
232	0.3152620064
233	0.3149877678
234	0.3147324884
235	0.3143586259
236	0.3141805992
237	0.3138724793
238	0.3134728386
239	0.3133003355
240	0.3130534873
241	0.3128133402
242	0.3125099841
243	0.3122364816
244	0.3120166669
245	0.3117861479
246	0.3113702943
247	0.3109605309
248	0.3106703391
249	0.3104852567
250	0.310261409
251	0.3099946998
252	0.3096786905
253	0.3093183605
254	0.3091130764
255	0.3088580634
256	0.3085456966
257	0.3082275586
258	0.3079766288
259	0.3075164211
260	0.3072290793
261	0.3069043066
262	0.3066669158
263	0.3064137891
264	0.3061690637
265	0.3059287032
266	0.3056518778
267	0.3054078299
268	0.3051449459
269	0.3048241746
270	0.3043606701
271	0.3039702014
272	0.3037246431
273	0.3035203906
274	0.3030102121
275	0.3026989395
276	0.3021572213
277	0.3019060944
278	0.3015374432
279	0.3011768382
280	0.3008501134
281	0.3004540322
282	0.300227606
283	0.3000005227
284	0.2995705631
285	0.2993172999
286	0.2991026993
287	0.2987603262
288	0.2984861951
289	0.2982819713
290	0.2978631401
291	0.297716926
292	0.2973676442
293	0.2971225543
294	0.2968921042
295	0.2966891255
296	0.2964351197
297	0.2961555095
298	0.2957539644
299	0.2954936125
